,Заглавие:,Автор: ,Категория:,Номер: ,Издадена:,Език:
295,Оптимизация больших систем,Л.С.Лецдон,оптимиране,,1975,
296,Недифференцируемая оптимизация,"В.Ф.Демьянов, Л.В.Васильев",оптимиране,,1981,
297,Оптимизация.Теория и алгоритмы,Ж.Сеа,оптимиране,,1973,
298,Задачи векторной оптимизации в теории управления,М.Е.Салуквадзе,оптимиране,,1975,
299,Особые оптимальные управления,"Р.Ф.Габасов, Ф.М.Кириллова",оптимиране,,1973,
300,Оптимальное управление,"В.М.Алексеев, В.М.Тихомиров, С.В.Фомин",оптимиране,,1979,
301,Сложность задач и еффективность методов оптимизации,"А.Немировский, Д.Б.Юдин",оптимиране,,1979,
302,Математические методы оптимизации систем с разспределенными параметрами,"В.В.Алиферов, С.В.Кирьян",оптимиране,,1975,
303,Оптимальные процрссы колебаний механических систем,В.А.Троицкий,оптимиране,,1976,
304,Нови направления в линейното програмиране,"Е.Г.Голщейн, Д.Бюдин",оптимиране,,1971,
305,Сборник задач по математическому программированию,"Т.Ф.Гуревич, В.О.Лущук",оптимиране,,1977,
306,Очерки пж математической теории систем,"Р. Калман, П. Фалб",оптимиране,,1971,
307,Применение теории систем к проблемам управления,К. Негойце,оптимиране,,1981,
308,Проблемы принятия решенй при нечеткой исходной информации,С. А. Орловский,оптимиране,,1981,
309,Выпуклый анализ,Р. Рокфелер,оптимиране,,1973,
310,Позиционые дифференциалные игры,"Н.Н. Красовски, А.И. Субботин",оптимиране,,1974,
311,Линейные многомерные системы управления,М. Уонъм,оптимиране,,1980,
312,Основы теории игр,Н.Н. Воробьев,оптимиране,,1984,
313,Линейные оптимальные системы управления,Х. Квакернаак,оптимиране,,1977,
314,Теория систем,Г. Вунш,оптимиране,,1978,
315,Автоматизирани системи за управляване на производството,А. Е. Розинкин,оптимиране,,1973,
316,Переходные процессы в линейных системах автоматического регулирования,З. Ш. Блох,оптимиране,,1961,
317,Нелинейное програмирование,У. И. Зангвил,оптимиране,,1973,
318,Параметрическое програмирование,Р. Даффин,оптимиране,,1972,
319,Линейные системы автоматического управления с перемеными параметрами,А.В. Солодов,оптимиране,,1962,
320,Лекции по теория управление,В.И. Зубов,оптимиране,,1975,
321,Математические методы оптималньного управления,В.Г. Болтянским,оптимиране,,1968,
322,Оптимизация динамических систем  случайной структуры,И.Е. Казаков,оптимиране,,1980,
323,Линейна алгебра и математическо програмиране,"К.Кънчев, Н.Стойнова-Петкова, К.Бонев",оптимиране,,1971,
324,Современное состояние теории исследвания операций,Н.Н>Моисеев,оптимиране,,1979,
325,"Линейное программирование теория, методы и приложения","Д.Б.Юдин, Е.Г.Гольштейн",оптимиране,,1969,
326,Курс математического программирования,И.Ф.Полунин,оптимиране,,1975,
